task_id,layer,difficulty,system,model_id,seed,passed,score,failure_mode,rubric_json,notes,n_turns,wallclock_s,adapter_error,started_at,trajectory
A01_qc_filter,A,medium,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 2 doublet methods; pairwise spearman: [('doublet_score_scrublet', 'doublet_score_scdblfinder', 0.5018260601556894)]",11,142.56766533851624,,2026-07-25T23:28:56.821048Z,trajectories/abl_aliases/A01_qc_filter__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
A02_normalize_log,A,easy,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": true}",,4,21.13198208808899,,2026-07-25T23:29:18.337626Z,trajectories/abl_aliases/A02_normalize_log__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
A03_hvg,A,easy,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""hvg_present"": true, ""hvg_count"": true, ""hvg_includes_canonical_markers"": true}","hvg_includes_canonical_markers: 20 canonical markers flagged: ['CCR7', 'CD14', 'CD3D', 'CD3E', 'CD79A', 'CD79B', 'CD8A', 'CD8B']",4,51.57102298736572,,2026-07-25T23:30:10.378137Z,trajectories/abl_aliases/A03_hvg__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
A04_pca_neighbors_umap,A,medium,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""pca"": true, ""neighbors"": true, ""umap"": true, ""umap_shape"": true, ""umap_preserves_celltype"": true}",umap_preserves_celltype: silhouette(X_umap | cell_type) = 0.406,9,128.4567186832428,,2026-07-25T23:32:19.810756Z,trajectories/abl_aliases/A04_pca_neighbors_umap__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
A05_leiden_clustering,A,hard,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""leiden_present"": true, ""cluster_count"": true, ""resolution_recorded"": true, ""multi_resolution_stability"": true, ""ari_vs_celltype"": true}",multi_resolution_stability: 8 resolutions; mean ARI = 0.591 | ari_vs_celltype: ARI=0.924,5,43.695608615875244,,2026-07-25T23:33:04.504993Z,trajectories/abl_aliases/A05_leiden_clustering__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
B01_full_pipeline,B,hard,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""leiden_present"": true, ""counts_layer"": true, ""hvg"": true, ""pca"": true, ""umap"": true, ""cluster_count"": true, ""cells_after_full_qc"": true, ""resolution_chosen"": true, ""ari_vs_celltype"": true}",ari_vs_celltype: ARI=0.540,22,447.2121024131775,,2026-07-25T23:40:32.143853Z,trajectories/abl_aliases/B01_full_pipeline__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
B02_subset_recluster,B,hard,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""subset_size"": true, ""only_t_cells"": true, ""tsubcluster_present"": true, ""subcluster_count"": true, ""cd4_cd8_split"": true}","cd4_cd8_split: CD4-dominant: ['0', '1', '2', '4']; CD8A-dominant: ['3', '5']",6,59.35280513763428,,2026-07-25T23:41:32.480172Z,trajectories/abl_aliases/B02_subset_recluster__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
B03_diff_expression,B,hard,deepseek_omicverse_ablate,deepseek-v4-flash,0,False,0.75,wrong_workflow_order,"{""rank_present"": true, ""rank_substructure"": true, ""multi_method_de_consistency"": true, ""top_markers_canonical_per_cluster"": false}",multi_method_de_consistency: 5 DE methods; mean Jaccard = 0.474 | top_markers_canonical_per_cluster: no cluster groups in rank_genes_groups,13,177.3601577281952,,2026-07-25T23:44:30.775364Z,trajectories/abl_aliases/B03_diff_expression__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
B04_multi_method_batch_correction,B,hard,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""batch_obs"": true, ""batch_separation_reduced"": true, ""celltype_structure_preserved"": true, ""kbet_lisi_quantitative"": true}","batch_separation_reduced: max silhouette drop=+0.029 (base=0.008); per-key [('X_combat', 0.009186540963128209), ('X_harmony', 0.004981855629011989), ('X_mde_combat', -0.029976096004247665), ('X_mde_harmony', 0.010407015681266785), ('X_mde_scVI', -0.005713801831007004), ('X_mde_scanorama', -0.0025749364867806435), ('X_pca_harmony', 0.004981855629011989), ('X_scVI', 0.007734006496320944), ('X_scanorama', -0.016274312246069806), ('corrected', 0.029151178435234175)] | celltype_structure_preserved: best ASW(cell_type)=0.146 ≥ 50%×0.125 | kbet_lisi_quantitative: max kNN-batch-mixing score = 0.823; per-key [('X_combat', 0.22485714285714284), ('X_harmony', 0.6852499999999999), ('X_mde_combat', 0.19424999999999998), ('X_mde_harmony', 0.7100714285714286), ('X_mde_scVI', 0.6897857142857142), ('X_mde_scanorama', 0.5753214285714284), ('X_pca_harmony', 0.6852499999999999), ('X_scVI', 0.6592499999999999), ('X_scanorama', 0.4976071428571428), ('corrected', 0.8226785714285713)]",10,334.0775773525238,,2026-07-25T23:50:09.722209Z,trajectories/abl_aliases/B04_multi_method_batch_correction__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
B05_multi_method_annotation,B,hard,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""multi_annotation"": true}",multi_annotation: 2 annotation methods; family-level agreement = 0.821 (pairwise=[0.821]),21,284.07241797447205,,2026-07-25T23:54:54.785531Z,trajectories/abl_aliases/B05_multi_method_annotation__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
