task_id,layer,difficulty,system,model_id,seed,passed,score,failure_mode,rubric_json,notes,n_turns,wallclock_s,adapter_error,started_at,trajectory
A01_qc_filter,A,medium,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 2 doublet methods; pairwise spearman: [('scrublet_doublet_score', 'scdblfinder_doublet_score', 0.501742115966546)]",9,150.3705542087555,,2026-07-25T23:31:47.254809Z,trajectories/abl_dispatch/A01_qc_filter__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
A02_normalize_log,A,easy,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": true}",,5,33.38677787780762,,2026-07-25T23:32:21.242262Z,trajectories/abl_dispatch/A02_normalize_log__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
A03_hvg,A,easy,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""hvg_present"": true, ""hvg_count"": true, ""hvg_includes_canonical_markers"": true}","hvg_includes_canonical_markers: 20 canonical markers flagged: ['CCR7', 'CD14', 'CD3D', 'CD3E', 'CD79A', 'CD79B', 'CD8A', 'CD8B']",4,66.6240246295929,,2026-07-25T23:33:28.934968Z,trajectories/abl_dispatch/A03_hvg__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
A04_pca_neighbors_umap,A,medium,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""pca"": true, ""neighbors"": true, ""umap"": true, ""umap_shape"": true, ""umap_preserves_celltype"": true}",umap_preserves_celltype: silhouette(X_umap | cell_type) = 0.467,5,92.56510591506958,,2026-07-25T23:35:01.991615Z,trajectories/abl_dispatch/A04_pca_neighbors_umap__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
A05_leiden_clustering,A,hard,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""leiden_present"": true, ""cluster_count"": true, ""resolution_recorded"": true, ""multi_resolution_stability"": true, ""ari_vs_celltype"": true}",multi_resolution_stability: 5 resolutions; mean ARI = 0.630 | ari_vs_celltype: ARI=0.540,4,38.02293014526367,,2026-07-25T23:35:41.477334Z,trajectories/abl_dispatch/A05_leiden_clustering__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
B01_full_pipeline,B,hard,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""leiden_present"": true, ""counts_layer"": true, ""hvg"": true, ""pca"": true, ""umap"": true, ""cluster_count"": true, ""cells_after_full_qc"": true, ""resolution_chosen"": true, ""ari_vs_celltype"": true}",ari_vs_celltype: ARI=0.333,11,143.7000880241394,,2026-07-25T23:38:05.694309Z,trajectories/abl_dispatch/B01_full_pipeline__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
B02_subset_recluster,B,hard,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""subset_size"": true, ""only_t_cells"": true, ""tsubcluster_present"": true, ""subcluster_count"": true, ""cd4_cd8_split"": true}","cd4_cd8_split: CD4-dominant: ['0', '2', '3', '4']; CD8A-dominant: ['1', '5', '6', '7']",4,42.70434498786926,,2026-07-25T23:38:49.191754Z,trajectories/abl_dispatch/B02_subset_recluster__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
B03_diff_expression,B,hard,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""rank_present"": true, ""rank_substructure"": true, ""multi_method_de_consistency"": true, ""top_markers_canonical_per_cluster"": true}","multi_method_de_consistency: 5 DE methods; mean Jaccard = 0.460 | top_markers_canonical_per_cluster: 6 clusters hit canonical markers: [('1', 'CD14-positive monocyte', ['LYZ', 'S100A8', 'S100A9']), ('12', 'B cell', ['CD79A', 'CD79B', 'MS4A1']), ('2', 'CD4-positive, alpha-beta T cell', ['CD3E']), ('3', 'CD14-positive monocyte', ['LYZ', 'S100A8', 'S100A9']), ('5', 'cytotoxic T cell', ['CD3D', 'CD3E'])]",14,195.38828372955322,,2026-07-25T23:42:05.395781Z,trajectories/abl_dispatch/B03_diff_expression__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
B04_multi_method_batch_correction,B,hard,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""batch_obs"": true, ""batch_separation_reduced"": true, ""celltype_structure_preserved"": true, ""kbet_lisi_quantitative"": true}","batch_separation_reduced: max silhouette drop=+0.029 (base=0.008); per-key [('X_harmony', 0.004981855629011989), ('X_mde_scVI', -0.005713801831007004), ('X_mde_scanorama', -0.0025749364867806435), ('X_pca_harmony', 0.004981855629011989), ('X_scVI', 0.007734006496320944), ('X_scanorama', -0.016274312246069806), ('corrected', 0.029151178435234175)] | celltype_structure_preserved: best ASW(cell_type)=0.146 ≥ 50%×0.125 | kbet_lisi_quantitative: max kNN-batch-mixing score = 0.823; per-key [('X_harmony', 0.6852499999999999), ('X_mde_scVI', 0.6897857142857142), ('X_mde_scanorama', 0.5753214285714284), ('X_pca_harmony', 0.6852499999999999), ('X_scVI', 0.6592499999999999), ('X_scanorama', 0.4976071428571428), ('corrected', 0.8226785714285713)]",20,1112.388025522232,,2026-07-26T00:00:43.222788Z,trajectories/abl_dispatch/B04_multi_method_batch_correction__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
B05_multi_method_annotation,B,hard,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""multi_annotation"": true}","multi_annotation: 4 annotation methods; family-level agreement = 0.881 (pairwise=[0.83, 0.991, 0.821])",26,260.7016832828522,,2026-07-26T00:05:04.429369Z,trajectories/abl_dispatch/B05_multi_method_annotation__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
