task_id,layer,difficulty,system,model_id,seed,passed,score,failure_mode,rubric_json,notes,n_turns,wallclock_s,adapter_error,started_at,trajectory
A01_qc_filter,A,medium,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 3 doublet methods; pairwise spearman: [('doublet_score', 'doublet_score_scrublet', 0.9999999999999998), ('doublet_score', 'doublet_score_doubletdetection', 0.3173011130719466), ('doublet_score_scrublet', 'doublet_score_doubletdetection', 0.3173011130719466)]",19,468.0751004219055,,2026-07-25T23:39:45.027352Z,trajectories/abl_ns_prerequisites/A01_qc_filter__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
A02_normalize_log,A,easy,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": true}",,6,37.92848801612854,,2026-07-25T23:40:23.567592Z,trajectories/abl_ns_prerequisites/A02_normalize_log__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
A03_hvg,A,easy,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""hvg_present"": true, ""hvg_count"": true, ""hvg_includes_canonical_markers"": true}","hvg_includes_canonical_markers: 20 canonical markers flagged: ['CCR7', 'CD14', 'CD3D', 'CD3E', 'CD79A', 'CD79B', 'CD8A', 'CD8B']",4,25.094762563705444,,2026-07-25T23:40:49.468478Z,trajectories/abl_ns_prerequisites/A03_hvg__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
A04_pca_neighbors_umap,A,medium,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""pca"": true, ""neighbors"": true, ""umap"": true, ""umap_shape"": true, ""umap_preserves_celltype"": true}",umap_preserves_celltype: silhouette(X_umap | cell_type) = 0.467,3,63.90929961204529,,2026-07-25T23:41:54.175606Z,trajectories/abl_ns_prerequisites/A04_pca_neighbors_umap__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
A05_leiden_clustering,A,hard,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""leiden_present"": true, ""cluster_count"": true, ""resolution_recorded"": true, ""multi_resolution_stability"": true, ""ari_vs_celltype"": true}",multi_resolution_stability: 5 resolutions; mean ARI = 0.630 | ari_vs_celltype: ARI=0.540,6,43.52193808555603,,2026-07-25T23:42:38.695077Z,trajectories/abl_ns_prerequisites/A05_leiden_clustering__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
B01_full_pipeline,B,hard,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""leiden_present"": true, ""counts_layer"": true, ""hvg"": true, ""pca"": true, ""umap"": true, ""cluster_count"": true, ""cells_after_full_qc"": true, ""resolution_chosen"": true, ""ari_vs_celltype"": true}",ari_vs_celltype: ARI=0.291,8,313.76109528541565,,2026-07-25T23:47:52.875084Z,trajectories/abl_ns_prerequisites/B01_full_pipeline__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
B02_subset_recluster,B,hard,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""subset_size"": true, ""only_t_cells"": true, ""tsubcluster_present"": true, ""subcluster_count"": true, ""cd4_cd8_split"": true}","cd4_cd8_split: CD4-dominant: ['0', '1', '3', '4']; CD8A-dominant: ['2', '5']",6,61.0978479385376,,2026-07-25T23:48:55.170017Z,trajectories/abl_ns_prerequisites/B02_subset_recluster__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
B03_diff_expression,B,hard,deepseek_omicverse_ablate,deepseek-v4-flash,0,False,0.75,wrong_workflow_order,"{""rank_present"": true, ""rank_substructure"": true, ""multi_method_de_consistency"": false, ""top_markers_canonical_per_cluster"": true}","multi_method_de_consistency: mean top-20 Jaccard across methods = 0.249 < 0.3 | top_markers_canonical_per_cluster: 6 clusters hit canonical markers: [('1', 'CD14-positive monocyte', ['CD14', 'LYZ', 'S100A8', 'S100A9']), ('12', 'B cell', ['CD19', 'CD79A', 'MS4A1']), ('2', 'CD4-positive, alpha-beta T cell', ['CD3D', 'CD3E', 'IL7R']), ('3', 'CD14-positive monocyte', ['S100A8', 'S100A9']), ('5', 'cytotoxic T cell', ['CD3D', 'CD3E'])]",13,365.2092077732086,,2026-07-25T23:55:01.336613Z,trajectories/abl_ns_prerequisites/B03_diff_expression__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
B04_multi_method_batch_correction,B,hard,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""batch_obs"": true, ""batch_separation_reduced"": true, ""celltype_structure_preserved"": true, ""kbet_lisi_quantitative"": true}","batch_separation_reduced: max silhouette drop=+0.029 (base=0.008); per-key [('X_combat', 0.009186540963128209), ('X_mde_combat', -0.029976096004247665), ('X_mde_harmony', 0.010407015681266785), ('X_mde_scVI', -0.005713801831007004), ('X_mde_scanorama', -0.0025749364867806435), ('X_pca_harmony', 0.005005192011594772), ('X_scVI', 0.007734006496320944), ('X_scanorama', -0.016282718675502707), ('corrected', 0.029151178435234175)] | celltype_structure_preserved: best ASW(cell_type)=0.145 ≥ 50%×0.125 | kbet_lisi_quantitative: max kNN-batch-mixing score = 0.823; per-key [('X_combat', 0.22485714285714284), ('X_mde_combat', 0.19424999999999998), ('X_mde_harmony', 0.7100714285714286), ('X_mde_scVI', 0.6897857142857142), ('X_mde_scanorama', 0.5753214285714284), ('X_pca_harmony', 0.6852142857142857), ('X_scVI', 0.6592499999999999), ('X_scanorama', 0.49742857142857144), ('corrected', 0.8226785714285713)]",18,662.9647951126099,,2026-07-26T00:06:11.937194Z,trajectories/abl_ns_prerequisites/B04_multi_method_batch_correction__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
B05_multi_method_annotation,B,hard,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""multi_annotation"": true}",multi_annotation: 2 annotation methods; family-level agreement = 0.821 (pairwise=[0.821]),12,170.13785886764526,,2026-07-26T00:09:03.350737Z,trajectories/abl_ns_prerequisites/B05_multi_method_annotation__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
