task_id,layer,difficulty,system,model_id,seed,passed,score,failure_mode,rubric_json,notes,n_turns,wallclock_s,adapter_error,started_at,trajectory
A01_qc_filter,A,medium,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 3 doublet methods; pairwise spearman: [('scrublet_doublet_score', 'scdblfinder_doublet_score', 0.501742115966546), ('scrublet_doublet_score', 'scdblfinder_score', 0.501742115966546), ('scdblfinder_doublet_score', 'scdblfinder_score', 1.0)]",14,173.84954476356506,,2026-07-25T23:34:11.416781Z,trajectories/abl_ns_produces/A01_qc_filter__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
A02_normalize_log,A,easy,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": true}",,4,29.150567770004272,,2026-07-25T23:34:41.239846Z,trajectories/abl_ns_produces/A02_normalize_log__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
A03_hvg,A,easy,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""hvg_present"": true, ""hvg_count"": true, ""hvg_includes_canonical_markers"": true}","hvg_includes_canonical_markers: 20 canonical markers flagged: ['CCR7', 'CD14', 'CD3D', 'CD3E', 'CD79A', 'CD79B', 'CD8A', 'CD8B']",3,23.767656326293945,,2026-07-25T23:35:05.936027Z,trajectories/abl_ns_produces/A03_hvg__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
A04_pca_neighbors_umap,A,medium,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""pca"": true, ""neighbors"": true, ""umap"": true, ""umap_shape"": true, ""umap_preserves_celltype"": true}",umap_preserves_celltype: silhouette(X_umap | cell_type) = 0.467,3,60.54919123649597,,2026-07-25T23:36:07.355187Z,trajectories/abl_ns_produces/A04_pca_neighbors_umap__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
A05_leiden_clustering,A,hard,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""leiden_present"": true, ""cluster_count"": true, ""resolution_recorded"": true, ""multi_resolution_stability"": true, ""ari_vs_celltype"": true}",multi_resolution_stability: 4 resolutions; mean ARI = 0.658 | ari_vs_celltype: ARI=0.540,6,43.319063663482666,,2026-07-25T23:36:51.489174Z,trajectories/abl_ns_produces/A05_leiden_clustering__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
B01_full_pipeline,B,hard,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""leiden_present"": true, ""counts_layer"": true, ""hvg"": true, ""pca"": true, ""umap"": true, ""cluster_count"": true, ""cells_after_full_qc"": true, ""resolution_chosen"": true, ""ari_vs_celltype"": true}",ari_vs_celltype: ARI=0.271,16,725.0561194419861,,2026-07-25T23:48:56.983811Z,trajectories/abl_ns_produces/B01_full_pipeline__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
B02_subset_recluster,B,hard,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""subset_size"": true, ""only_t_cells"": true, ""tsubcluster_present"": true, ""subcluster_count"": true, ""cd4_cd8_split"": true}","cd4_cd8_split: CD4-dominant: ['0', '1', '4']; CD8A-dominant: ['2', '3', '5']",8,57.54554057121277,,2026-07-25T23:49:55.448975Z,trajectories/abl_ns_produces/B02_subset_recluster__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
B03_diff_expression,B,hard,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""rank_present"": true, ""rank_substructure"": true, ""multi_method_de_consistency"": true, ""top_markers_canonical_per_cluster"": true}","multi_method_de_consistency: 5 DE methods; mean Jaccard = 0.460 | top_markers_canonical_per_cluster: 6 clusters hit canonical markers: [('1', 'CD14-positive monocyte', ['LYZ', 'S100A8', 'S100A9']), ('12', 'B cell', ['CD79A', 'CD79B', 'MS4A1']), ('2', 'CD4-positive, alpha-beta T cell', ['CD3E']), ('3', 'CD14-positive monocyte', ['LYZ', 'S100A8', 'S100A9']), ('5', 'cytotoxic T cell', ['CD3D', 'CD3E'])]",16,246.28893971443176,,2026-07-25T23:54:02.942209Z,trajectories/abl_ns_produces/B03_diff_expression__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
B04_multi_method_batch_correction,B,hard,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""batch_obs"": true, ""batch_separation_reduced"": true, ""celltype_structure_preserved"": true, ""kbet_lisi_quantitative"": true}","batch_separation_reduced: max silhouette drop=+0.029 (base=0.008); per-key [('X_combat', 0.009186540963128209), ('X_harmony', 0.004981855629011989), ('X_mde_combat', -0.029976096004247665), ('X_mde_harmony', 0.010407015681266785), ('X_mde_scVI', -0.005713801831007004), ('X_mde_scanorama', -0.0025749364867806435), ('X_pca_harmony', 0.004981855629011989), ('X_scVI', 0.007734006496320944), ('X_scanorama', -0.016274312246069806), ('corrected', 0.029151178435234175)] | celltype_structure_preserved: best ASW(cell_type)=0.146 ≥ 50%×0.125 | kbet_lisi_quantitative: max kNN-batch-mixing score = 0.823; per-key [('X_combat', 0.22485714285714284), ('X_harmony', 0.6852499999999999), ('X_mde_combat', 0.19424999999999998), ('X_mde_harmony', 0.7100714285714286), ('X_mde_scVI', 0.6897857142857142), ('X_mde_scanorama', 0.5753214285714284), ('X_pca_harmony', 0.6852499999999999), ('X_scVI', 0.6592499999999999), ('X_scanorama', 0.4976071428571428), ('corrected', 0.8226785714285713)]",12,411.46751976013184,,2026-07-26T00:01:05.691547Z,trajectories/abl_ns_produces/B04_multi_method_batch_correction__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
B05_multi_method_annotation,B,hard,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""multi_annotation"": true}","multi_annotation: 4 annotation methods; family-level agreement = 0.942 (pairwise=[0.913, 1.0, 0.913])",18,268.85227513313293,,2026-07-26T00:05:35.385436Z,trajectories/abl_ns_produces/B05_multi_method_annotation__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
