task_id,layer,difficulty,system,model_id,seed,passed,score,failure_mode,rubric_json,notes,n_turns,wallclock_s,adapter_error,started_at,trajectory
A01_qc_filter,A,medium,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 2 doublet methods; pairwise spearman: [('doublet_score_scrublet', 'doublet_score_scdblfinder', 0.5093677826844754)]",20,688.2068800926208,,2026-07-25T23:42:05.775611Z,trajectories/abl_ns_requires/A01_qc_filter__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
A02_normalize_log,A,easy,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": true}",,3,25.860603094100952,,2026-07-25T23:42:32.000397Z,trajectories/abl_ns_requires/A02_normalize_log__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
A03_hvg,A,easy,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""hvg_present"": true, ""hvg_count"": true, ""hvg_includes_canonical_markers"": true}","hvg_includes_canonical_markers: 20 canonical markers flagged: ['CCR7', 'CD14', 'CD3D', 'CD3E', 'CD79A', 'CD79B', 'CD8A', 'CD8B']",5,27.386781454086304,,2026-07-25T23:43:00.246861Z,trajectories/abl_ns_requires/A03_hvg__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
A04_pca_neighbors_umap,A,medium,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""pca"": true, ""neighbors"": true, ""umap"": true, ""umap_shape"": true, ""umap_preserves_celltype"": true}",umap_preserves_celltype: silhouette(X_umap | cell_type) = 0.467,3,75.36440110206604,,2026-07-25T23:44:16.536637Z,trajectories/abl_ns_requires/A04_pca_neighbors_umap__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
A05_leiden_clustering,A,hard,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""leiden_present"": true, ""cluster_count"": true, ""resolution_recorded"": true, ""multi_resolution_stability"": true, ""ari_vs_celltype"": true}",multi_resolution_stability: 9 resolutions; mean ARI = 0.563 | ari_vs_celltype: ARI=0.918,5,50.06592893600464,,2026-07-25T23:45:07.394895Z,trajectories/abl_ns_requires/A05_leiden_clustering__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
B01_full_pipeline,B,hard,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""leiden_present"": true, ""counts_layer"": true, ""hvg"": true, ""pca"": true, ""umap"": true, ""cluster_count"": true, ""cells_after_full_qc"": true, ""resolution_chosen"": true, ""ari_vs_celltype"": true}",ari_vs_celltype: ARI=0.733,12,257.0608501434326,,2026-07-25T23:49:25.052365Z,trajectories/abl_ns_requires/B01_full_pipeline__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
B02_subset_recluster,B,hard,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""subset_size"": true, ""only_t_cells"": true, ""tsubcluster_present"": true, ""subcluster_count"": true, ""cd4_cd8_split"": true}","cd4_cd8_split: CD4-dominant: ['0', '1', '2', '4']; CD8A-dominant: ['3', '5']",5,50.02121424674988,,2026-07-25T23:50:15.883624Z,trajectories/abl_ns_requires/B02_subset_recluster__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
B03_diff_expression,B,hard,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""rank_present"": true, ""rank_substructure"": true, ""multi_method_de_consistency"": true, ""top_markers_canonical_per_cluster"": true}","multi_method_de_consistency: 5 DE methods; mean Jaccard = 0.460 | top_markers_canonical_per_cluster: 6 clusters hit canonical markers: [('1', 'CD14-positive monocyte', ['LYZ', 'S100A8', 'S100A9']), ('12', 'B cell', ['CD79A', 'CD79B', 'MS4A1']), ('2', 'CD4-positive, alpha-beta T cell', ['CD3E']), ('3', 'CD14-positive monocyte', ['LYZ', 'S100A8', 'S100A9']), ('5', 'cytotoxic T cell', ['CD3D', 'CD3E'])]",11,232.03799891471863,,2026-07-25T23:54:08.851542Z,trajectories/abl_ns_requires/B03_diff_expression__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
B04_multi_method_batch_correction,B,hard,deepseek_omicverse_ablate,deepseek-v4-flash,0,False,0.0,exceeded_turns,{},no final adata produced,-1,1500.0,wallclock_timeout: wallclock_timeout: exceeded 1500s budget,2026-07-26T00:19:13.550920Z,trajectories/abl_ns_requires/B04_multi_method_batch_correction__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
B05_multi_method_annotation,B,hard,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""multi_annotation"": true}",multi_annotation: 2 annotation methods; family-level agreement = 0.821 (pairwise=[0.821]),14,208.42143297195435,,2026-07-26T00:22:42.568579Z,trajectories/abl_ns_requires/B05_multi_method_annotation__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
B06_reference_annotation,B,medium,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""predicted_obs"": true, ""ref_celltype_present"": true, ""predicted_coverage"": true}",,11,224.224054813385,,2026-07-26T00:26:27.096646Z,trajectories/abl_ns_requires/B06_reference_annotation__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
B08_aucell_pathway_scoring,B,medium,deepseek_omicverse_ablate,deepseek-v4-flash,0,False,0.6666666666666666,wrong_workflow_order,"{""score_columns_regex"": true, ""score_count_matching"": true, ""tb_celltype_specificity"": false}","score_columns_regex: '^(aucell|score|signature|auc)_'→signature_tcell_aucell | score_count_matching: 2 matching: ['signature_tcell_aucell', 'signature_bcell_aucell'] | tb_celltype_specificity: only 1 columns peak in expected family (need ≥2); samples=['signature_bcell_aucell↑b_cell (z_gap=7.21)']",5,102.20178270339966,,2026-07-26T00:28:09.859228Z,trajectories/abl_ns_requires/B08_aucell_pathway_scoring__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
B09_cnmf_gene_programs,B,hard,deepseek_omicverse_ablate,deepseek-v4-flash,0,True,1.0,none,"{""cnmf_obsm"": true, ""cnmf_programs_uns"": true, ""dominant_program"": true, ""n_programs"": true, ""cnmf_real_call"": true}","cnmf_obsm: 'X_cnmf|cnmf_usages|gep_usages'→X_cnmf | cnmf_programs_uns: 'cnmf.*program|cnmf.*spectra|cnmf.*gene_loading|gep_program'→cnmf_programs | cnmf_real_call: real cNMF library invocation: matched [""'\\\\bget_results_rfc\\\\b'→'get_results_rfc'"", ""'\\\\bcombine_nmf\\\\b'→'combine_nmf'""]",25,593.390043258667,,2026-07-26T00:38:04.211112Z,trajectories/abl_ns_requires/B09_cnmf_gene_programs__deepseek_omicverse_ablate__deepseek_v4_flash__seed0.json
