task_id,layer,difficulty,system,model_id,seed,passed,score,failure_mode,rubric_json,notes,n_turns,wallclock_s,adapter_error,started_at,trajectory
A01_qc_filter,A,medium,deepseek_omicverse_prose,deepseek-v4-flash,0,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 3 doublet methods; pairwise spearman: [('doublet_score_scrublet', 'doublet_score_scdblfinder', 0.501742115966546), ('doublet_score_scrublet', 'scdblfinder_score', 0.501742115966546), ('doublet_score_scdblfinder', 'scdblfinder_score', 1.0)]",16,149.6770052909851,,2026-07-25T09:25:10.642884Z,trajectories/ablation_v4flash_prose/A01_qc_filter__deepseek_omicverse_prose__deepseek_v4_flash__seed0.json
A01_qc_filter,A,medium,deepseek_omicverse_prose,deepseek-v4-flash,1,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 2 doublet methods; pairwise spearman: [('doublet_score_scrublet', 'doublet_score_scdblfinder', 0.5029840091686034)]",10,158.79563093185425,,2026-07-25T09:50:38.565819Z,trajectories/ablation_v4flash_prose/A01_qc_filter__deepseek_omicverse_prose__deepseek_v4_flash__seed1.json
A01_qc_filter,A,medium,deepseek_omicverse_prose,deepseek-v4-flash,2,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 3 doublet methods; pairwise spearman: [('doublet_score', 'doublet_score_scrublet', 1.0), ('doublet_score', 'doublet_score_scdblfinder', 0.501742115966546), ('doublet_score_scrublet', 'doublet_score_scdblfinder', 0.501742115966546)]",9,124.03075218200684,,2026-07-25T10:22:36.688509Z,trajectories/ablation_v4flash_prose/A01_qc_filter__deepseek_omicverse_prose__deepseek_v4_flash__seed2.json
A02_normalize_log,A,easy,deepseek_omicverse_prose,deepseek-v4-flash,0,True,1.0,none,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": true}",,4,23.334241151809692,,2026-07-25T09:20:02.819571Z,trajectories/ablation_v4flash_prose/A02_normalize_log__deepseek_omicverse_prose__deepseek_v4_flash__seed0.json
A02_normalize_log,A,easy,deepseek_omicverse_prose,deepseek-v4-flash,1,True,1.0,none,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": true}",,5,29.000925540924072,,2026-07-25T09:51:07.943009Z,trajectories/ablation_v4flash_prose/A02_normalize_log__deepseek_omicverse_prose__deepseek_v4_flash__seed1.json
A02_normalize_log,A,easy,deepseek_omicverse_prose,deepseek-v4-flash,2,True,1.0,none,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": true}",,3,17.67044234275818,,2026-07-25T10:22:54.622496Z,trajectories/ablation_v4flash_prose/A02_normalize_log__deepseek_omicverse_prose__deepseek_v4_flash__seed2.json
A03_hvg,A,easy,deepseek_omicverse_prose,deepseek-v4-flash,0,True,1.0,none,"{""hvg_present"": true, ""hvg_count"": true, ""hvg_includes_canonical_markers"": true}","hvg_includes_canonical_markers: 20 canonical markers flagged: ['CCR7', 'CD14', 'CD3D', 'CD3E', 'CD79A', 'CD79B', 'CD8A', 'CD8B']",4,25.492446184158325,,2026-07-25T09:25:36.533982Z,trajectories/ablation_v4flash_prose/A03_hvg__deepseek_omicverse_prose__deepseek_v4_flash__seed0.json
A03_hvg,A,easy,deepseek_omicverse_prose,deepseek-v4-flash,1,True,1.0,none,"{""hvg_present"": true, ""hvg_count"": true, ""hvg_includes_canonical_markers"": true}","hvg_includes_canonical_markers: 20 canonical markers flagged: ['CCR7', 'CD14', 'CD3D', 'CD3E', 'CD79A', 'CD79B', 'CD8A', 'CD8B']",5,27.12100386619568,,2026-07-25T09:51:35.501501Z,trajectories/ablation_v4flash_prose/A03_hvg__deepseek_omicverse_prose__deepseek_v4_flash__seed1.json
A03_hvg,A,easy,deepseek_omicverse_prose,deepseek-v4-flash,2,True,1.0,none,"{""hvg_present"": true, ""hvg_count"": true, ""hvg_includes_canonical_markers"": true}","hvg_includes_canonical_markers: 20 canonical markers flagged: ['CCR7', 'CD14', 'CD3D', 'CD3E', 'CD79A', 'CD79B', 'CD8A', 'CD8B']",5,41.57468295097351,,2026-07-25T10:23:36.711887Z,trajectories/ablation_v4flash_prose/A03_hvg__deepseek_omicverse_prose__deepseek_v4_flash__seed2.json
A04_pca_neighbors_umap,A,medium,deepseek_omicverse_prose,deepseek-v4-flash,0,True,1.0,none,"{""pca"": true, ""neighbors"": true, ""umap"": true, ""umap_shape"": true, ""umap_preserves_celltype"": true}",umap_preserves_celltype: silhouette(X_umap | cell_type) = 0.467,3,43.16823410987854,,2026-07-25T09:26:20.128616Z,trajectories/ablation_v4flash_prose/A04_pca_neighbors_umap__deepseek_omicverse_prose__deepseek_v4_flash__seed0.json
